"Baker","1","August 31","1950","Alabama"
"Camille","1","August 18","1969","Alabama,Louisiana"
"Eloise","1[notes 1]","September 23","1975","Alabama,Florida"
"Frederic","3","September 13","1979","Alabama,Mississippi"
"Elena","3","September 2","1985","Alabama,Florida,Mississippi"
"Opal","1[notes 1]","October 4","1995","Alabama,Florida"
"Danny","1","July 19","1997","Alabama,Louisiana"
"Ivan","3","September 16","2004","Alabama"
"Dennis","1[notes 1]","July 10","2005","Alabama,Florida"
"Katrina","1","August 29","2005","Alabama,Florida,Louisiana,Mississippi"
"Carol","3","August 31","1954","Connecticut,Massachusetts,North Carolina,Rhode Island"
"Donna","1","September 12","1960","Connecticut,Florida,Massachusetts,New York,North Carolina,Rhode Island,Virginia"
"Agnes","1","June 22","1972","Connecticut,Florida"
"Gloria","2","September 27","1985","Connecticut,Maine,New Hampshire,North Carolina"
"Bob","2","August 19","1991","Connecticut,Massachusetts,Rhode Island"
"Easy","3","September 5","1950","Florida"
"King","4","October 18","1950","Florida"
"Florence","1","September 26","1953","Florida,Louisiana"
"Hazel","1","October 9","1953","Florida,New York, South Carolina"
"Flossy","1","September 24","1956","Florida,Louisiana"
"Cleo","2","August 27","1964","Florida"
"Dora","2","September 10","1964","Florida"
"Isbell","2","October 14","1964","Florida"
"Betsy","3","September 8","1965","Florida,Louisiana"
"Alma","2","June 9","1966","Florida"
"Inez","1","October 8","1966","Florida"
"Gladys","2","October 19","1968","Florida"
"David","2","September 3","1979","Florida,South Carolina"
"Kate","2","November 21","1985","Florida"
"Floyd","1","October 12","1987","Florida,North Carolina"
"Andrew","5","August 24","1992","Florida,Louisiana"
"Erin","2","August 3","1995","Florida"
"Earl","1","September 3","1998","Florida"
"Georges","2","September 25","1998","Florida,Mississippi"
"Irene","1","October 15","1999","Floridai,North Carolina"
"Charley","4","August 13","2004","Florida,North Carolina,South Carolina"
"Frances","2","September 5","2004","Florida"
"Ivan","3","September 16","2004","Florida"
"Jeanne","3","September 26","2004","Florida"
"Rita","1[notes 2]","September 20","2005","Florida,Louisiana,Texas"
"Wilma","3","October 24","2005","Georgia"
"Hermine","1[notes 3]","September 2","2016","Georgia"
"Matthew","4[notes 2][notes 3]","October 7","2016", "Florida,Georgia,New York, South Carolina"
"Audrey","3","June 27","1957","Louisiana,Texas"
"Ethel","1","September 15","1964","Louisiana,Mississippi"
"Hilda","3","October 3","1964","Louisiana"
"Edith","2","September 16","1971","Louisiana"
"Carmen","3","September 8","1974","Louisiana"
"Babe","1","September 5","1977","Louisiana"
"Bob","1","September 11","1979","Lousiana"
"Danny","1","August 15","1985","Louisiana"
"Juan","1","October 28","1985","Louisiana"
"Lili","1","October 3","2002","Louisiana"
"Cindy","1","July 6","2005","Louisiana,South Carolina"
"Humberto","1","September 13","2007","Louisiana,Texas"
"Gustav","2","September 1","2008","Louisiana"
"Isaac","1","August 28","2012","Louisiana"
"Edna","2","September 11","1954","Massachusetts,North Carolina,Rhode Island"
"Belle","1","August 10","1976","New York"
"Sandy","1[notes 4]","October 29","2012","New York"
"Barbara","1","August 14","1953","North Carolina"
"Arthur","2","July 4","2014","North Carolina"
"Irene","1","August 27","2011","North Carolina"
"Ophelia","1[notes 2]","September 14","2005","North Carolina"
"Charley","1","August 17","1986","North Carolina"
"Alex","1[notes 2]","August 3","2004","North Carolina"
"Isabel","2","September 18","2003","North Carolina,Virginia"
"Bonnie","2","August 27","1998","North Carolina"
"Fran","3","September 6","1996","North Carolina"
"Bertha","2","July 12","1996","North Carolina"
"Emily","3[notes 2]","August 31","1993","North Carolina"
"Hugo","1[notes 1]","September 22","1989","North Carolina,South Carolina"
"Diana","2","September 13","1984","North Carolina"
"Ginger","1","September 30","1971","North Carolina"
"Helene","3[notes 2]","September 27","1958","North Carolina"
"Ione","2","September 19","1955","North Carolina"
"Connie","2","August 12","1955","North Carolina,Virginia"
"Able","2","August 31","1952","South Carolina"
"Gracie","4","September 29","1959","South Carolina"
"Bob","1","July 25","1985","South Carolina"
"Gaston","1","August 29","2004","South Carolina"
"Debra","1","July 25","1959","Texas"
"Carla","4","September 11","1961","Texas"
"Cindy","1","September 17","1963","Texas"
"Beulah","3","September 20","1967","Texas"
"Celia","3","August 3","1970","Texas"
"Fern","1","September 10","1971","Texas"
"Allen","3","August 10","1980","Texas"
"Alicia","3","August 18","1983","Texas"
"Bonnie","1","June 28","1986","Texas"
"Chantal","1","August 1","1989","Texas"
"Jerry","1","October 16","1989","Texas"
"Bret","3","August 23","1999","Texas"
"Claudette","1","July 15","2003","Texas"
"Dolly","1","July 23","2008","Texas"
"Ike","2","September 13","2008","Texas"
"Dot","1","August 7","1959","Hawaii"
"Iwa","1","November 24","1982","Hawaii"
"Iniki","4","September 11","1992","Hawaii"
